#,Ticker,Company,Mkt Cap ($B),Region/Focus,Rationale,Include? (Y/N),Notes
1,AMZN,Amazon.com,2560,Global,Dominant global e-commerce marketplace + 3P seller platform,,
2,BABA,Alibaba Group,305,China/Global,"Taobao, Tmall, AliExpress — China's largest e-commerce ecosystem",,
3,PDD,PDD Holdings,144,China/Global,Pinduoduo (China) and Temu (global) discount marketplaces,,
4,BKNG,Booking Holdings,138,Global,"World's largest online travel marketplace (Booking.com, Priceline)",,
5,MELI,MercadoLibre,93,Latin America,Dominant LatAm e-commerce and payments marketplace,,
6,ABNB,Airbnb,80,Global,Leading peer-to-peer marketplace for lodging and experiences,,
7,DASH,DoorDash,68,US/Global,Leading on-demand delivery marketplace for restaurants and retail,,
8,CVNA,Carvana,53,US,Online marketplace for buying and selling used cars,,
9,SE,Sea Limited,51,SE Asia/Global,"Shopee — one of largest e-commerce platforms in SE Asia",,
10,EBAY,eBay,43,Global,"Pioneering C2C/B2C marketplace; focus collectibles, refurbished",,
11,JD,JD.com,40,China,Major Chinese e-commerce platform with integrated logistics,,
12,CPNG,Coupang,36,South Korea,South Korea's largest e-commerce marketplace; acquired Farfetch,,
13,GRAB,Grab Holdings,15,SE Asia,"Super-app: delivery, ride-hail, commerce marketplace",,
14,RKUNY,Rakuten Group,12,Japan,Japan's largest e-commerce marketplace + fintech ecosystem,,
15,CHWY,Chewy,11,US,Leading online pet products marketplace with subscription model,,
16,CART,Maplebear (Instacart),10,US/Canada,Leading online grocery delivery marketplace,,
17,W,Wayfair,9,US/Global,Online marketplace for home goods and furniture,,
18,VIPS,Vipshop,7,China,Chinese online discount marketplace for brands,,
19,ZAL,Zalando,6,Europe,Europe's leading online fashion and lifestyle marketplace,,
20,ETSY,Etsy,5,Global,"Marketplace for handmade, vintage, unique goods",,
21,GLBE,Global-E Online,5,Global,Cross-border e-commerce platform enabling global merchant sales,,
22,MCARY,Mercari,4,Japan/US,Japanese C2C marketplace app (Japan + US),,"OTC — check liquidity"
23,REAL,The RealReal,1.2,US,Authenticated luxury consignment marketplace,,
24,JMIA,Jumia Technologies,1.0,Africa,Leading e-commerce marketplace across African countries,,
25,TDUP,ThredUp,0.45,US,Online secondhand fashion marketplace,,
