#,Ticker,Company,Mkt Cap ($B),Sub-sector,Rationale,Include? (Y/N),Notes
1,V,Visa,608,Payments,Dominant global card network; rails for nearly all online transactions,,
2,MA,Mastercard,464,Payments,Second-largest card network; co-duopoly on e-com payment rails,,
3,SHOP,Shopify,164,E-com SaaS,Leading merchant platform powering millions of online stores,,
4,ADBE,Adobe,99,E-com SaaS / MarTech,"Owns Magento (Adobe Commerce); creative/analytics for merchants",,
5,UPS,United Parcel Service,87,Logistics,Core parcel carrier for e-commerce fulfillment,,
6,FDX,FedEx,86,Logistics,Major e-commerce parcel and express delivery network,,
7,NET,Cloudflare,66,Infrastructure,"Web performance, CDN, security for e-commerce sites",,
8,PYPL,PayPal,45,Payments / BNPL,"Leading online checkout/wallet; Venmo, Pay Later",,
9,XYZ,Block (Square),41,Payments / POS,"Square POS for omnichannel; Cash App; Afterpay BNPL",,
10,DDOG,Datadog,38,Analytics / Infra,Observability platform used by e-com for monitoring,,
11,ADYEN,Adyen,36,Payments,"Unified payments for enterprise (eBay, Spotify, etc.)",,Euronext Amsterdam
12,FISV,Fiserv,33,Payments / Processing,Clover POS; major merchant acquiring and processing,,
13,FIS,Fidelity Natl Info Svcs,25,Payments / Processing,Core banking and payment technology,,
14,XPO,XPO Logistics,25,Logistics,Major LTL/freight supporting e-commerce supply chains,,
15,AFRM,Affirm,20,BNPL,Leading US BNPL; deep Shopify & Amazon integrations,,
16,TWLO,Twilio,20,Comm / Analytics,"Owns Segment (CDP); APIs for e-com (SMS, notifications)",,
17,GPN,Global Payments,20,Payments / Processing,Merchant acquiring; recently acquired Worldpay,,
18,TOST,Toast,17,Payments / POS,"Restaurant commerce platform (POS, payments, ops SaaS)",,
19,AKAM,Akamai,13,Infrastructure,CDN and web security for high-traffic e-com sites,,
20,PINS,Pinterest,13,AdTech / Social Commerce,Visual discovery driving product discovery and shoppable ads,,
21,HUBS,HubSpot,11,Marketing SaaS,CRM and marketing automation for DTC/e-com brands,,
22,GDDY,GoDaddy,11,E-com SaaS / Hosting,"Domains, hosting, website tools for small merchants",,
23,TTD,The Trade Desk,11,AdTech,Programmatic ad buying for e-com customer acquisition,,
24,SNAP,Snap,10,AdTech / Social Commerce,"Growing e-com ad products (dynamic ads, AR try-on)",,
25,MANH,Manhattan Associates,8,Fulfillment / WMS,Supply chain and warehouse management for e-com fulfillment,,
26,GXO,GXO Logistics,6,Fulfillment / 3PL,Largest pure-play contract logistics; warehousing for e-com,,
27,DSGX,Descartes Systems,6,Logistics Tech,"Logistics SaaS: customs, routing, global trade compliance",,
28,GLBE,Global-E Online,6,Cross-border,Cross-border e-commerce (localization / duties / FX),,
29,KLAR,Klarna,5.6,BNPL,Major global BNPL provider; IPO'd Sept 2025,,
30,KVYO,Klaviyo,5.5,Marketing SaaS,Email/SMS marketing purpose-built for e-com (Shopify ecosystem),,
31,ESTC,Elastic,5.0,Search / Analytics,Powers product search and analytics for e-commerce sites,,
32,FOUR,Shift4 Payments,4.8,Payments,"Integrated payment processing for hospitality, retail, e-com",,
33,CMRC,Commerce.com (fka BigCommerce),4.0,E-com SaaS,E-commerce platform for mid-market/enterprise,,
34,DLO,dLocal,4.0,Cross-border Payments,"Enables payments in emerging markets (LatAm, Africa, Asia)",,
35,BILL,Bill Holdings,3.8,Payments / AP-AR,B2B payments automation for SMB merchants,,
36,FSLY,Fastly,3.4,Infrastructure,Edge cloud/CDN for fast page loads on e-commerce sites,,
37,BRZE,Braze,2.6,Marketing SaaS,"Customer engagement (push, email, in-app) for e-com",,
38,SEZL,Sezzle,2.4,BNPL,Growing BNPL focused on younger US shoppers,,
39,MQ,Marqeta,1.8,Payments / Card Issuing,"Modern card issuing; powers Affirm, Klarna, DoorDash",,
40,PAYO,Payoneer,1.8,Cross-border Payments,Cross-border payouts for marketplaces and e-com sellers,,
41,RAMP,LiveRamp,1.7,AdTech / Data,Identity resolution and data connectivity for e-com targeting,,
42,DV,DoubleVerify,1.7,AdTech / Verification,Ad verification ensuring e-com ad spend reaches real audiences,,
43,FLYW,Flywire,1.6,Cross-border Payments,"Complex cross-border payments (education, healthcare, B2B)",,
44,CXM,Sprinklr,1.3,Customer Experience,Unified CX management for e-com brands across channels,,
45,LSPD,Lightspeed Commerce,1.3,E-com SaaS / POS,"POS and e-com platform for retail, restaurants",,
46,PGY,Pagaya Technologies,1.1,Fintech / Lending,AI-driven lending network; powers BNPL and credit decisioning,,
47,TBLA,Taboola,1.0,AdTech,Content discovery / native advertising driving e-com traffic,,
48,CRTO,Criteo,1.0,AdTech / Retargeting,Commerce media / retargeting platform for e-com advertisers,,
49,AMPL,Amplitude,0.9,Analytics,Product analytics for e-com conversion optimization,,
50,VTEX,VTEX,0.7,E-com SaaS,Enterprise digital commerce platform focused on Latin America,,
51,RSKD,Riskified,0.6,Fraud / Security,AI fraud prevention and chargeback guarantee for e-com,,
